QUERY: measles virus in urine,rank,,,,
,,,,,
loinc_num,long_common_name,component,system,property,rank
31885-7,Measles virus Ag [Presence] in Urine sediment,Measles virus Ag,Urine sed,PrThr,1
14542-5,Measles virus Ag [Presence] in Urine sediment by Immunofluorescence,Measles virus Ag,Urine sed,PrThr,2
86577-4,Measles virus RNA [Presence] in Urine by NAA with probe detection,Measles virus RNA,Urine,PrThr,3
31964-0,Rubella virus Ag [Presence] in Urine sediment,Rubella virus Ag,Urine sed,PrThr,4
14531-8,Rubella virus Ag [Presence] in Urine sediment by Immunofluorescence,Rubella virus Ag,Urine sed,PrThr,5
86589-9,Rubella virus RNA [Presence] in Urine by NAA with probe detection,Rubella virus RNA,Urine,PrThr,6
22501-1,Measles virus IgG Ab [Titer] in Cerebral spinal fluid,Measles virus Ab.IgG,CSF,Titr,7
21501-2,Measles virus IgG Ab [Titer] in Serum by Immunofluorescence,Measles virus Ab.IgG,Ser,Titr,8
44011-5,Measles virus IgG and IgM [Interpretation] in Cerebral spinal fluid,Measles virus Ab.IgG & IgM,CSF,Imp,9
14541-7,Measles virus Ag [Presence] in Vaginal fluid by Immunofluorescence,Measles virus Ag,Vag,PrThr,10
88977-4,Epithelial casts [#/area] in Urine sediment,Epithelial casts,Urine sed,Naric,11
98016-9,Fat [#/area] in Urine sediment by Microscopy high power field,Fat,Urine sed,Naric,12
24124-0,Casts [Presence] in Urine sediment by Light microscopy,Casts,Urine sed,PrThr,13
99915-1,Cocci bacteria [Presence] in Urine sediment by Automated,Cocci bacteria,Urine sed,PrThr,14
5782-8,Crystals [type] in Urine sediment by Light microscopy,Crystals,Urine sed,Prid,15
49755-2,Crystals [Presence] in Urine sediment by Light microscopy,Crystals,Urine sed,PrThr,16
88973-3,Crystals.amorphous [#/area] in Urine sediment,Crystals.amorphous,Urine sed,Naric,17
88967-5,Leucine crystals [#/area] in Urine sediment,Leucine crystals,Urine sed,Naric,18
53970-0,Macrocytes [Presence] in Urine sediment by Light microscopy,Macrocytes,Urine sed,PrThr,19
31885-7,Measles virus Ag [Presence] in Urine sediment,Measles virus Ag,Urine sed,PrThr,20
53969-2,Microcytes [Presence] in Urine sediment by Light microscopy,Microcytes,Urine sed,PrThr,21
8247-9,Mucus [Presence] in Urine sediment by Light microscopy,Mucus,Urine sed,PrThr,22
88972-5,Broad casts [#/area] in Urine sediment,Broad casts,Urine sed,Naric,23
38994-0,Histiocytes [Presence] in Urine sediment by Light microscopy,Histiocytes,Urine sed,PrThr,24
58442-5,Other elements [Identifier] in Urine sediment by Light microscopy,Other elements,Urine sed,Prid,25
8248-7,Spermatozoa [Presence] in Urine sediment by Light microscopy,Spermatozoa,Urine sed,PrThr,26
53971-8,Spherocytes [Presence] in Urine sediment by Light microscopy,Spherocytes,Urine sed,PrThr,27
88969-1,Tyrosine crystals [#/area] in Urine sediment,Tyrosine crystals,Urine sed,Naric,28
32356-8,Yeast [Presence] in Urine sediment by Light microscopy,Yeast,Urine sed,PrThr,29
59212-1,Alloisoleucine [Moles/volume] in Urine,Alloisoleucine,Urine,SCnc,30
9190-0,Urine output 10 hour,Fluid output.urine,Urinary tract,VRat,31
9191-8,Urine output 12 hour,Fluid output.urine,Urinary tract,VRat,32
10564-3,Cervical mucus [Volume],Cervical mucus,^Patient,Vol,33
95598-9,Mucus strands [Presence] in Semen by Microscopy,Mucus strands,Semen,PrThr,34
10573-4,Ferning [Type] in Cervical mucus,Ferning,Cvm,Type,35
10582-5,pH of Cervical mucus,pH,Cvm,LsCnc,36
10570-0,Consistency of Cervical mucus,Consistency,Cvm,PrThr,37
54452-8,Ferning [Presence] in Cervical mucus,Ferning,Cvm,PrThr,38
10630-2,Spinnbarkeit [Length] in Cervical mucus,Spinnbarkeit,Cvm,Len,39
79333-1,Viscosity of Cervical mucus Qualitative,Viscosity,Cvm,Visc,40
4467-7,Deprecated Spinnbarkeit [Length] in Cervical mucus,Spinnbarkeit test,Cvm,Len,41
10562-7,Cells [#/volume] in Cervical mucus,Cells,Cvm,NCnc,42
31630-7,Spermatozoa Ab [Presence] in Cervical mucus,Spermatozoa Ab,Cvm,PrThr,43
