Query: WHITE BLOOD CELLS COUNT,,,,,
,,,,,
loinc_num,long_common_name,component,system,property,rank
26464-8,Leukocytes [#/volume] in Blood,Leukocytes,Bld,NCnc,1
26474-7,Lymphocytes [#/volume] in Blood,Lymphocytes,Bld,NCnc,2
26484-6,Monocytes [#/volume] in Blood,Monocytes,Bld,NCnc,3
26478-8,Lymphocytes/100 leukocytes in Blood,Lymphocytes/100 leukocytes,Bld,NFr,4
730-2,Leukocytes other/100 leukocytes in Blood by Manual count,Leukocytes other/100 leukocytes,Bld,NFr,5
714-6,Eosinophils/100 leukocytes in Blood by Manual count,Eosinophils/100 leukocytes,Bld,NFr,6
707-0,Basophils/100 leukocytes in Blood by Manual count,Basophils/100 leukocytes,Bld,NFr,7
62245-6,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood from Fetus by Automated count,Erythrocytes.nucleated/100 leukocytes,Bld^Fetus,Ratio,8
12229-1,Macrophages/100 leukocytes in Cerebral spinal fluid by Manual count,Macrophages/100 leukocytes,CSF,NFr,9
14709-0,Eosinophils/100 leukocytes in Bronchial specimen by Manual count,Eosinophils/100 leukocytes,Bronchial,NFr,10
14625-8,Basophils/100 leukocytes in Bronchial specimen by Manual count,Basophils/100 leukocytes,Bronchial,NFr,11
2858998,Eosinophils/100 leukocytes in Nose by Manual count,Eosinophils/100 leukocytes,Nose,NFr,12
21094-8,Basophils/100 leukocytes in Sputum by Manual count,Basophils/100 leukocytes,Sputum,NFr,13
62440-3,Nucleated erythrocytes/100 leukocytes [Ratio] in Body fluid by Automated count,Erythrocytes.nucleated/100 leukocytes,Body fld,Ratio,14
41282-5,Nucleated erythrocytes/100 leukocytes [Ratio] in Body fluid by Manual count,Erythrocytes.nucleated/100 leukocytes,Body fld,Ratio,15
40543-1,Leukocytes other/100 leukocytes in Bronchial specimen by Manual count,Leukocytes other/100 leukocytes,Bronchial,NFr,16
51621-1,Macrophages/100 leukocytes in Dialysis fluid by Manual count,Macrophages/100 leukocytes,Dial fld,NFr,17
40524-1,Macrophages/100 leukocytes in Pericardial fluid by Manual count,Macrophages/100 leukocytes,Pericard fld,NFr,18
40517-5,Macrophages/100 leukocytes in Peritoneal fluid by Manual count,Macrophages/100 leukocytes,Periton fld,NFr,19
890-4,Blood group antibody screen [Presence] in Serum or Plasma,Blood group antibody screen,Ser/Plas,ACnc,20
1988-5,C reactive protein [Mass/volume] in Serum or Plasma,C reactive protein,Ser/Plas,MCnc,21
30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,C reactive protein,Ser/Plas,MCnc,22
4671-4,Protein C [Mass/volume] in Plasma,Protein C,Plas,MCnc,23
6011-1,Protein C cofactor [Units/volume] in Platelet poor plasma,Protein C cofactor,PPP,ACnc,24
4674-8,Deprecated Protein C inhibitor [Mass/volume] in Platelet poor plasma by Immunologic method,Protein C inhibitor.activated,Plas,-,25
55461-8,Deprecated Protein C in Platelet poor plasma,Protein C,PPP,-,26
6010-3,Protein C inhibitor [Mass/volume] in Platelet poor plasma by Immunoassay,Protein C inhibitor,PPP,MCnc,27
4671-4,Protein C [Mass/volume] in Plasma,Protein C,Plas,MCnc,28
55460-0,Deprecated Protein C Ag in Platelet poor plasma,Protein C Ag,PPP,-,29
6006-1,Protein C [Units/volume] in Platelet poor plasma by Chromogenic method,Protein C,PPP,ACnc,30
6007-9,Protein C [Units/volume] in Platelet poor plasma by Coagulation assay,Protein C,PPP,ACnc,31
4672-2,Protein C Ag [Mass/volume] in Platelet poor plasma,Protein C Ag,PPP,MCnc,32
27818-4,Protein C actual/normal in Platelet poor plasma by Chromogenic method,Protein C actual/Normal,PPP,RelCCnc,33
27819-2,Protein C actual/normal in Platelet poor plasma by Coagulation assay,Protein C actual/Normal,PPP,RelTime,34
52766-3,aPTT in Platelet poor plasma by Coagulation assay -- after addition of protein C activator + Factor V depleted plasma/aPTT,Coagulation surface induced^after addition of protein C activator+Factor V depleted plasma/Coagulation surface induced,PPP,TRto,35
48596-1,Activated protein C resistance panel - Platelet poor plasma,Activated protein C resistance panel,PPP,-,36
6009-5,Protein C Ag [Units/volume] in Platelet poor plasma by Immunoassay,Protein C Ag,PPP,ACnc,37
48591-2,Activated protein C resistance [Interpretation] in Platelet poor plasma,Activated protein C resistance,PPP,Imp,38
18878-9,Cefazolin [Susceptibility],Cefazolin,Isolate,Susc,39
19000-9,Vancomycin [Susceptibility],Vancomycin,Isolate,Susc,40
23658-8,Other Antibiotic [Susceptibility],Antibiotic XXX,Isolate,Susc,41
18928-2,Gentamicin [Susceptibility],Gentamicin,Isolate,Susc,42
18955-5,Nitrofurantoin [Susceptibility],Nitrofurantoin,Isolate,Susc,43
18998-5,Trimethoprim+Sulfamethoxazole [Susceptibility],Trimethoprim+Sulfamethoxazole,Isolate,Susc,44
18906-8,Ciprofloxacin [Susceptibility],Ciprofloxacin,Isolate,Susc,45
18864-9,Ampicillin [Susceptibility],Ampicillin,Isolate,Susc,46
18865-6,Ampicillin+Sulbactam [Susceptibility],Ampicillin+Sulbactam,Isolate,Susc,47
20629-2,Levofloxacin [Susceptibility],Levofloxacin,Isolate,Susc,48
71470-9,ESRD antibiotic panel,Antibiotic panel,Medication,-,49
71471-7,Antibiotic administered Medication,Antibiotic administered,Medication,Type,50
100049-6,Eravacycline [Susceptibility],Eravacycline,Isolate,Susc,51
100052-0,Flomoxef [Susceptibility],Flomoxef,Isolate,Susc,52
100053-8,Fluoroquinolone [Susceptibility],Fluoroquinolone,Isolate,Susc,53
93850-6,Pretomanid [Susceptibility],Pretomanid,Isolate,Susc,54
100044-7,Cefcapene [Susceptibility],Cefcapene,Isolate,Susc,55
100045-4,Cefozopran [Susceptibility],Cefozopran,Isolate,Susc,56
100046-2,Cefquinome [Susceptibility],Cefquinome,Isolate,Susc,57
99281-8,Lefamulin [Susceptibility],Lefamulin,Isolate,Susc,58
100055-3,Optochin [Susceptibility],Optochin,Isolate,Susc,59
100056-1,Panipenem [Susceptibility],Panipenem,Isolate,Susc,60
100058-7,Prulifloxacin [Susceptibility],Prulifloxacin,Isolate,Susc,61
44433-1,Other Antibiotic [Mass/volume] in Serum or Plasma --peak,Antibiotic XXX^peak,Ser/Plas,MCnc,62
44434-9,Other Antibiotic [Mass/volume] in Serum or Plasma --trough,Antibiotic XXX^trough,Ser/Plas,MCnc,63
13317-3,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture,Staphylococcus aureus.methicillin resistant isolate,XXX,ACnc,64
20442-0,Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification,Hepatitis B virus DNA,Ser,NCnc,65
1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Aspartate aminotransferase,Ser/Plas,CCnc,66
1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin,Ser/Plas,MCnc,67
1759-0,Albumin/Globulin [Mass ratio] in Serum or Plasma,Albumin/Globulin,Ser/Plas,MCrto,68
29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,Calcium^^corrected for albumin,Ser/Plas,SCnc,69
925-8,Blood product disposition [Type],Blood product disposition,^BPU,Type,70
934-0,Blood product unit ID [#],Blood product unit ID,Dose,Num,71
933-2,Blood product type,Blood product type,^BPU,Type,72
1994-3,Calcium.ionized [Moles/volume] in Blood,Calcium.ionized,Bld,SCnc,73
17861-6,Calcium [Mass/volume] in Serum or Plasma,Calcium,Ser/Plas,MCnc,74
1995-0,Calcium.ionized [Moles/volume] in Serum or Plasma,Calcium.ionized,Ser/Plas,SCnc,75
54439-5,Calcium bilirubinate/Total in Stone,Calcium bilirubinate/Total,Calculus,MFr,76
2069-3,Chloride [Moles/volume] in Blood,Chloride,Bld,SCnc,77
2075-0,Chloride [Moles/volume] in Serum or Plasma,Chloride,Ser/Plas,SCnc,78
3082-5,Tyrosine aminotransferase [Mass/volume] in Plasma,Tyrosine aminotransferase,Plas,MCnc,79
1250-0,Major crossmatch [interpretation],Major crossmatch,Ser/Plas,Imp,80
8310-5,Body temperature,Body temperature,^Patient,Temp,81
10331-7,Rh [Type] in Blood,Rh,Bld,Type,82
882-1,ABO & Rh group [Type] in Blood,ABO+Rh group,Bld,Type,83
31100-1,Hematocrit [Volume Fraction] of Blood by Impedance,Hematocrit,Bld,VFr,84
883-9,ABO group [Type] in Blood,ABO group,Bld,Type,85
1959-6,Bicarbonate [Moles/volume] in Blood,Bicarbonate,Bld,SCnc,86
20565-9,"Carbon dioxide, total [Moles/volume] in Blood",Carbon dioxide,Bld,SCnc,87
14578-9,ABO group [Type] in Blood from Blood product unit,ABO group,Bld^BPU,Type,88
77137-8,"Bilirubin.total [Moles/volume] in Serum, Plasma or Blood",Bilirubin,Ser/Plas/Bld,SCnc,89
1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Bilirubin,Ser/Plas,MCnc,90
1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,Bilirubin.glucuronidated+Bilirubin.albumin bound,Ser/Plas,MCnc,91
35192-4,Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma,Bilirubin.non-glucuronidated,Ser/Plas,MSCnc,92
1970-3,Bilirubin.delta [Mass/volume] in Serum or Plasma,Bilirubin.albumin bound,Ser/Plas,MCnc,93
22665-4,Bilirubin.delta [Moles/volume] in Serum or Plasma,Bilirubin.albumin bound,Ser/Plas,SCnc,94
14749-6,Glucose [Moles/volume] in Serum or Plasma,Glucose,Ser/Plas,SCnc,95
-128686,Glucose [Mass/volume] in Serum or Plasma --baseline,Glucose^baseline,Ser/Plas,MCnc,96
14768-6,Glucose [Moles/volume] in Serum or Plasma --baseline,Glucose^baseline,Ser/Plas,SCnc,97
12639-1,Glucose [Mass/volume] in Serum or Plasma --15 minutes post XXX challenge,Glucose^15M post XXX challenge,Ser/Plas,MCnc,98
40155-4,Glucose [Moles/volume] in Serum or Plasma --15 minutes post XXX challenge,Glucose^15M post XXX challenge,Ser/Plas,SCnc,99
