Query: WHITE BLOOD CELLS COUNT,,,,,
,,,,,
loinc_num,long_common_name,component,system,property,rank
26464-8,Leukocytes [#/volume] in Blood,Leukocytes,Bld,NCnc,1
26474-7,Lymphocytes [#/volume] in Blood,Lymphocytes,Bld,NCnc,2
26484-6,Monocytes [#/volume] in Blood,Monocytes,Bld,NCnc,3
26478-8,Lymphocytes/100 leukocytes in Blood,Lymphocytes/100 leukocytes,Bld,NFr,4
890-4,Blood group antibody screen [Presence] in Serum or Plasma,Blood group antibody screen,Ser/Plas,ACnc,5
1988-5,C reactive protein [Mass/volume] in Serum or Plasma,C reactive protein,Ser/Plas,MCnc,6
30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,C reactive protein,Ser/Plas,MCnc,7
4671-4,Protein C [Mass/volume] in Plasma,Protein C,Plas,MCnc,8
18878-9,Cefazolin [Susceptibility],Cefazolin,Isolate,Susc,9
19000-9,Vancomycin [Susceptibility],Vancomycin,Isolate,Susc,10
23658-8,Other Antibiotic [Susceptibility],Antibiotic XXX,Isolate,Susc,11
18928-2,Gentamicin [Susceptibility],Gentamicin,Isolate,Susc,12
18955-5,Nitrofurantoin [Susceptibility],Nitrofurantoin,Isolate,Susc,13
18998-5,Trimethoprim+Sulfamethoxazole [Susceptibility],Trimethoprim+Sulfamethoxazole,Isolate,Susc,14
18906-8,Ciprofloxacin [Susceptibility],Ciprofloxacin,Isolate,Susc,15
18864-9,Ampicillin [Susceptibility],Ampicillin,Isolate,Susc,16
18865-6,Ampicillin+Sulbactam [Susceptibility],Ampicillin+Sulbactam,Isolate,Susc,17
20629-2,Levofloxacin [Susceptibility],Levofloxacin,Isolate,Susc,18
13317-3,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture,Staphylococcus aureus.methicillin resistant isolate,XXX,ACnc,19
20442-0,Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification,Hepatitis B virus DNA,Ser,NCnc,20
1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Aspartate aminotransferase,Ser/Plas,CCnc,21
1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin,Ser/Plas,MCnc,22
1759-0,Albumin/Globulin [Mass ratio] in Serum or Plasma,Albumin/Globulin,Ser/Plas,MCrto,23
29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,Calcium^^corrected for albumin,Ser/Plas,SCnc,24
925-8,Blood product disposition [Type],Blood product disposition,^BPU,Type,25
934-0,Blood product unit ID [#],Blood product unit ID,Dose,Num,26
933-2,Blood product type,Blood product type,^BPU,Type,27
1994-3,Calcium.ionized [Moles/volume] in Blood,Calcium.ionized,Bld,SCnc,28
17861-6,Calcium [Mass/volume] in Serum or Plasma,Calcium,Ser/Plas,MCnc,29
1995-0,Calcium.ionized [Moles/volume] in Serum or Plasma,Calcium.ionized,Ser/Plas,SCnc,30
54439-5,Calcium bilirubinate/Total in Stone,Calcium bilirubinate/Total,Calculus,MFr,31
2069-3,Chloride [Moles/volume] in Blood,Chloride,Bld,SCnc,32
2075-0,Chloride [Moles/volume] in Serum or Plasma,Chloride,Ser/Plas,SCnc,33
3082-5,Tyrosine aminotransferase [Mass/volume] in Plasma,Tyrosine aminotransferase,Plas,MCnc,34
1250-0,Major crossmatch [interpretation],Major crossmatch,Ser/Plas,Imp,35
8310-5,Body temperature,Body temperature,^Patient,Temp,36
10331-7,Rh [Type] in Blood,Rh,Bld,Type,37
882-1,ABO & Rh group [Type] in Blood,ABO+Rh group,Bld,Type,38
31100-1,Hematocrit [Volume Fraction] of Blood by Impedance,Hematocrit,Bld,VFr,39
883-9,ABO group [Type] in Blood,ABO group,Bld,Type,40
1959-6,Bicarbonate [Moles/volume] in Blood,Bicarbonate,Bld,SCnc,41
20565-9,"Carbon dioxide, total [Moles/volume] in Blood",Carbon dioxide,Bld,SCnc,42
14578-9,ABO group [Type] in Blood from Blood product unit,ABO group,Bld^BPU,Type,43
1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Bilirubin,Ser/Plas,MCnc,44
1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,Bilirubin.glucuronidated+Bilirubin.albumin bound,Ser/Plas,MCnc,45
35192-4,Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma,Bilirubin.non-glucuronidated,Ser/Plas,MSCnc,46
14749-6,Glucose [Moles/volume] in Serum or Plasma,Glucose,Ser/Plas,SCnc,47
35184-1,Fasting glucose [Mass or Moles/volume] in Serum or Plasma,Glucose^post CFst,Ser/Plas,MSCnc,48
74774-1,"Glucose [Mass/volume] in Serum, Plasma or Blood",Glucose,Ser/Plas/Bld,MCnc,49
2093-3,Cholesterol [Mass/volume] in Serum or Plasma,Cholesterol,Ser/Plas,MCnc,50
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Cholesterol.in HDL,Ser/Plas,MCnc,51
1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,Amylase,Ser/Plas,CCnc,52
2111-3,Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma,Choriogonadotropin.beta subunit,Ser/Plas,SCnc,53
19080-1,Choriogonadotropin [Units/volume] in Serum or Plasma,Choriogonadotropin,Ser/Plas,ACnc,54
2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Carbon dioxide,Ser/Plas,SCnc,55
14764-5,Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO,Glucose^3H post 100 g glucose PO,Ser/Plas,SCnc,56
2143-6,Cortisol [Mass/volume] in Serum or Plasma,Cortisol,Ser/Plas,MCnc,57
2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Carcinoembryonic Ag,Ser/Plas,MCnc,58
1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,Bilirubin.non-glucuronidated,Ser/Plas,MCnc,59
6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Alkaline phosphatase,Ser/Plas,CCnc,60
1003-3,Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma,Indirect antiglobulin test.complement specific reagent,Ser/Plas,ACnc,61
1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Alanine aminotransferase,Ser/Plas,CCnc,62
2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum,Cobalamins,Ser,MCnc,63
14747-0,Glucose [Moles/volume] in Pleural fluid,Glucose,Plr fld,SCnc,64
14423-8,Bilirubin.total [Mass/volume] in Synovial fluid,Bilirubin,Synv fld,MCnc,65
15076-3,Glucose [Moles/volume] in Urine,Glucose,Urine,SCnc,66
33870-7,Bilirubin.total [Presence] in Unspecified specimen,Bilirubin,XXX,PrThr,67
